supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
Sonim,XP Pro Thermal,2351367,SMARTPHONE,C,C,3.01,2025-06-20,36,5,5000,2481,10,1000,False,1,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_5,A,300,3.05,3,1,PRIORITY,NO_COST,https://www.sonimtech.com/our-difference/esg,https://www.sonimtech.com/our-difference/esg/repairability
POCO,2409FPCC4G,2309768,SMARTPHONE,D,C,2.61,2025-06-20,12,5,5010,2266,10,1000,True,45,USB_C,ANDROID,False,IP64,DUST_TIGHT,SPLASHING,,MOHS_5,D,45,3,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
DOOGEE,Blade20 Play,2402034,SMARTPHONE,C,C,3.15,2025-06-28,12,5,10300,5158,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.9,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
HAMMER,IRON Va,2356579,SMARTPHONE,B,B,3.41,2024-05-24,24,5,6400,3435,10,1000,False,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.2,MOHS_6,A,315,4.3,4.8,2.8,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,www.mptech.eu,www.mptech.eu
OUKITEL,WP35,2356326,SMARTPHONE,A,A,4.1,2025-05-13,12,7,11000,7251,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.65,3.65,2.65,PRIORITY,NO_COST,/,/
motorola,g55 5G (XT2435-2),2264839,SMARTPHONE,B,B,3.99,2024-09-03,24,7,4850,3124,8,800,False,30,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,B,180,2.4,3.3,4.3,PRIORITY,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
realme,RMX3780,2398234,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP32,2394515,SMARTPHONE,C,B,3.94,2025-06-20,84,5,6300,3226,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.2,4.2,2.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.oukitel.com,https://www.oukitel.com
DOOGEE,S cyber Pro,2399782,SMARTPHONE,C,C,3.19,2025-06-26,12,5,10800,5230,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.05,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,C65 Pro,2383649,SMARTPHONE,A,B,3.37,2025-06-10,12,5,5150,3329,10,1000,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,A,270,3.55,2.6,3.95,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
