supplierOrTrademark,modelIdentifier,eprelRegistrationNumber,deviceType,energyClass,repairabilityClass,repairabilityIndex,onMarketStartDate,guaranteeDuration,minYearsSoftwareUpdates,ratedBatteryCapacity,batteryEndurancePerCycle,batteryEnduranceInCycles,batteryCyclesFromPDF,batteryUserReplaceable,chargerRequiredOutputPower,chargerReceptacleType,operatingSystem,isFoldable,ingressProtectionRating,ingressProtectionRatingSolid,ingressProtectionRatingWater,immersionDepthWater,screenScratchResistance,repeatedFreeFallReliabilityClass,fallsWithoutDefect,disassemblyDepthScore,fastenersScore,toolsScore,sparePartScore,repairInfoScore,webLinkRepairInstructions,webLinkInfoSparePartsAvailability
CUBOT,MAX 5,2400661,SMARTPHONE,E,B,3.35,2025-06-27,12,5,5100,1778,9,900,False,33,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,B,180,3.6,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP28 E,2394500,SMARTPHONE,C,B,3.94,2025-06-20,84,5,10600,5150,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.2,4.2,2.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.oukitel.com,https://www.oukitel.com
ulefone,Armor 27 Pro,2395324,SMARTPHONE,A,C,3.2,2024-08-06,24,5,10600,6816,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3.05,2.1,3.15,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
JCB Phone,Toughphone M20,2391066,SMARTPHONE,B,D,2,2025-06-23,24,5,9800,5838,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2,2,3,DISPLAY_BATTERY,NO_COST_PROFESSIONAL_REPAIRERS,www.jcbphone.com/support,www.jcbphone.com
CROSSCALL,STELLAR-X5,2361563,SMARTPHONE,A,B,3.41,2023-08-08,60,5,4360,3276,10,1000,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1,MOHS_5,A,270,2.9,2.9,4,PRIORITY,NO_COST,https://www.crosscall.com/fr_FR/userguides/,https://www.crosscall.com/fr_FR/pieces-detachees.html
ulefone,Armor  25T Pro,2393866,SMARTPHONE,B,C,3.25,2024-06-06,24,5,6500,3948,10,1000,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.55,2.7,3.75,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
NOTHING,A059P,2263919,SMARTPHONE,C,C,2.84,2025-03-11,24,5,4920,2597,14,1400,True,50,USB_C,ANDROID,False,IP64,DUST_TIGHT,SPLASHING,,MOHS_5,C,90,2.5,4.1,3.7,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,https://nothing.tech/pages/support-centre,https://nothing.tech/pages/support-centre
CUBOT,KINGKONG POWER 3,2400643,SMARTPHONE,C,C,3.23,2025-06-27,12,5,10200,5352,14,1400,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.25,2.6,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
MUNBYN,IPDA087,2389767,SMARTPHONE,A,C,3.1,2025-06-16,12,5,3520,5449,15,1500,False,30,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_5,A,270,3.25,2.6,3.7,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Fire 3,2389166,SMARTPHONE,A,C,3.25,2025-06-16,12,5,8350,5460,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,D,45,3.3,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
ulefone,Armor  X31,2392626,SMARTPHONE,A,C,2.9,2025-02-26,24,5,6050,4863,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,3,2.4,2.95,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
DOOGEE,Fire 3 Max,2391829,SMARTPHONE,A,C,3.25,2025-06-18,12,5,8350,5460,11,1100,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,D,45,3.3,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Samsung,SM-A166B/DS,2302932,SMARTPHONE,B,C,3.2,2024-09-30,24,5,4860,2610,12,1200,True,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,2.2,3.1,3.6,PRIORITY,NO_COST,https://www.samsung.com,https://www.samsung.com/uk/support/self-repair-and-spare-parts/
"Shenzhen kehuitong Technology Co., Ltd.",M80,2389065,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Note59 Pro,2402019,SMARTPHONE,C,B,3.36,2025-06-28,12,5,6250,3098,11,1100,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,A,270,3.65,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
vivo,V2503,2248247,SMARTPHONE,B,C,2.99,2025-06-05,24,5,6340,3489,8,800,True,55,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,C,100,2.9,3.1,1,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://vivospareparts.com/
ZTE,Z2466,2330799,SMARTPHONE,D,B,3.45,2025-02-01,24,5,4900,2170,8,800,False,10,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,D,45,2.9,3.2,4,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/blade/zte-blade-a35e,https://www.ztedevices.com/en/support/service-center.html
HAMMER,BLADE V 5G,2355507,SMARTPHONE,B,B,3.62,2024-01-08,24,5,4900,2958,8,800,False,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,365,4.5,4.8,3.5,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,www.mptech.eu,www.mptech.eu
POCO,24095PCADG,2314708,SMARTPHONE,C,C,2.61,2025-06-20,12,5,5010,2451,10,1000,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,B,180,3,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
DOOGEE,Fire 5 Ultra,2406349,SMARTPHONE,F,C,3.19,2025-07-03,12,5,13000,3880,11,1100,False,33,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,A,270,3.05,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
ulefone,Power Armor 18T,2395314,SMARTPHONE,B,C,3.13,2023-11-08,24,5,9600,5310,10,1000,False,66,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.2,2.2,4,PRIORITY,NO_COST,https://www.ulefone.com/pages/support-centers,https://www.ulefone.com/pages/support-centers
ZTE,Z2474,2371482,SMARTPHONE,A,B,3.41,2025-06-01,24,5,4900,3260,8,800,True,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,C,90,2.9,3.2,3.9,PRIORITY,NO_COST,https://www.ztedevices.com/en/support/download.html?product=/content/ztedevices-product/products/global/smartphones/blade/zte-blade-a76,https://www.ztedevices.com/en/support/service-center.html
OUKITEL,C59,2383634,SMARTPHONE,B,B,3.37,2025-06-10,12,5,8800,5087,12,1200,False,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
realme,RMX5011,2304603,SMARTPHONE,A,B,3.59,2024-11-25,24,6,3155,4523,8,800,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_5,C,90,3.75,3.6,3.1,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,https://www.realme.com/global/support/user-manuals,https://telesalon.pl/firm-eng-1639151509-Realme.html
OUKITEL,G2,2394545,SMARTPHONE,C,B,3.94,2025-06-20,84,5,6300,3226,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.2,4.2,2.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.oukitel.com,https://www.oukitel.com
OUKITEL,WP21,2392092,SMARTPHONE,C,C,3.29,2025-06-18,12,5,9800,4750,10,1000,False,66,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.2,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
ulefone,Armor 26 Ultra,2404844,SMARTPHONE,B,B,3.35,2024-05-23,24,5,7800,9091,10,1000,False,99,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_4,A,270,2.3,3.5,4,PRIORITY,NO_COST, https://www.ulefone.com/pages/support-centers, https://www.ulefone.com/pages/support-centers
OUKITEL,C59 Pro,2384175,SMARTPHONE,B,B,3.37,2025-06-10,12,5,8800,5087,12,1200,False,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen kehuitong Technology Co., Ltd.",F24,2389058,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,N55 Pro,2402073,SMARTPHONE,C,B,3.37,2025-06-28,12,5,5150,2573,11,1100,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,B,180,3.7,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,Fire 7 Max,2406327,SMARTPHONE,C,C,3.16,2025-07-03,12,5,10800,5267,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Gigaset,GX6 Pro,2395253,SMARTPHONE,B,B,3.45,2023-03-01,24,5,4900,2842,8,800,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1,MOHS_6,A,400,4.25,3.6,2.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://service.gigaset.com/de/support/solutions/75000005907,https://service.gigaset.com/de/support/solutions/75000005907
Blackview,SHARK 6,2399991,SMARTPHONE,A,B,3.57,2025-06-26,24,5,5000,3218,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_7,C,98,4.25,4.4,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
UMIDIGI,PG4TBG9TA,2394272,SMARTPHONE,C,B,3.44,2025-06-20,12,5,5000,2644,16,1600,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.8,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
POCO,24122RKC7G,2302982,SMARTPHONE,A,C,2.61,2025-06-20,12,5,5180,3773,10,1000,False,99,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,D,45,3,3,2.4,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,spare-parts.mi.com,spare-parts.mi.com
ulefone,Note 18 Ultra,2404843,SMARTPHONE,B,B,3.4,2024-05-23,24,5,5450,3045,10,1000,False,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_4,C,108,3.2,2.1,4.25,PRIORITY,NO_COST, https://www.ulefone.com/pages/support-centers, https://www.ulefone.com/pages/support-centers
DOOGEE,Blade20 Turbo,2402023,SMARTPHONE,C,C,3.18,2025-06-28,12,5,10300,5112,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,2.95,2.6,3.7,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
Blackview,SHARK 9,2394826,SMARTPHONE,B,B,3.43,2025-06-20,24,5,5000,2946,8,800,False,18,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_7,C,138,4.3,4.9,4.8,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
OUKITEL,WP55 Pro,2384167,SMARTPHONE,D,C,3.18,2025-06-10,12,5,11000,4491,11,1100,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,2.95,2.6,3.7,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen Jiaqi Technology Co., Ltd.",S25 Ultra,2358512,SMARTPHONE,A,A,4.1,2025-05-01,1,5,4500,240,8,800,False,10,USB_C,ANDROID,False,IP30,MORE_THAN_2_5MM,NO_PROTECTION,,MOHS_6,B,183,5,5,5,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,https://www.temu.com/us-zh-Hans/Mobix-m-634418218546979.html,https://www.temu.com/us-zh-Hans/Mobix-m-634418218546979.html
Blackview,BL7000,2394283,SMARTPHONE,A,C,3.28,2025-06-20,12,5,7500,7125,8,800,False,45,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_5,A,270,3.4,2.7,3.55,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,/,/
UMIDIGI,PG5FBN10X,2394257,SMARTPHONE,C,B,3.44,2025-06-20,12,5,5000,2644,16,1600,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.8,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
APPLE,A3287,2251146,SMARTPHONE,B,C,2.8,2024-09-20,24,5,3561,2220,10,1000,False,5,USB_C,IOS,False,IP68,DUST_TIGHT,CONT_IMMERSION,6,MOHS_4,C,90,2.7,3.2,1,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://support.apple.com/self-service-repair,https://support.apple.com/self-service-repair
OPPO,CPH2695,2245886,SMARTPHONE,A,B,3.88,2025-04-11,24,6,5640,3730,16,1600,True,10,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,3.3,4.1,3.25,PRIORITY,NO_COST,https://support.oppo.com/en/answer/?aid=2204306,https://support.oppo.com/en/answer/?aid=2204306
CUBOT,KINGKONG ACE 2,2399744,SMARTPHONE,C,C,3.18,2025-06-26,12,5,5100,2639,9,900,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3,2.6,3.6,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
vivo,V2440,2217850,SMARTPHONE,B,C,2.99,2025-03-15,24,5,6380,3679,10,1000,True,55,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_4,A,270,2.8,3.3,1,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair
MUNBYN,IPDA100,2389749,SMARTPHONE,A,C,3.1,2025-06-16,12,5,3520,5449,15,1500,False,30,USB_C,ANDROID,False,IP65,DUST_TIGHT,JETTING,,MOHS_5,A,270,3.25,2.6,3.7,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,/,/
OUKITEL,WP32,2394032,SMARTPHONE,C,B,3.94,2025-06-20,84,5,6300,3226,10,1000,False,18,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.2,4.2,2.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.oukitel.com,https://www.oukitel.com
"Shenzhen Jiaqi Technology Co., Ltd.",S25 Ultra,2396752,SMARTPHONE,B,C,3,2025-06-25,24,5,4000,2100,12,1200,False,10,USB_C,ANDROID,False,IP46,MORE_THAN_1MM,POWERFUL_JETTING,,MOHS_5,D,45,3,3,3,DISPLAY_BATTERY_BACK_COVER,NO_COST_PROFESSIONAL_REPAIRERS,-,-
vivo,V2446,2217906,SMARTPHONE,B,C,2.98,2025-03-25,24,5,5050,2766,10,1000,True,15,USB_C,ANDROID,False,IP64,DUST_TIGHT,SPLASHING,,MOHS_4,B,180,2.8,3.2,1,PRIORITY,NO_COST,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair,https://www.vivo.com/eu/view/support/aboutSelfServiceRepair?code=selfServiceRepair
realme,RMX3853,2398265,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
DOOGEE,N55,2402016,SMARTPHONE,C,B,3.37,2025-06-28,12,5,5150,2573,11,1100,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,B,180,3.7,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
MAXCOM,MS601,2394886,SMARTPHONE,B,C,2.6,2025-06-20,24,5,4000,2328,8,800,True,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_7,D,48,2.15,3.6,4.15,DISPLAY_BATTERY_BACK_COVER_CAMERAS,REASONABLE_FEE_PROFESSIONAL_REPAIRERS,See Manual,See Manual
myPhone,N23 Plus 5G,2367080,SMARTPHONE,B,B,3.86,2024-08-13,24,5,5000,2685,5,500,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,C,95,4.8,4.8,4.3,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,www.mptech.eu,www.mptech.eu
MEIZU,M512H,2371519,SMARTPHONE,B,B,3.58,2025-05-28,12,5,5000,2978,10,1000,False,18,OTHER,OTHER,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,3.1,3,3.7,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,See Manual,See Manual
realme,RMX3933,2398239,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Shenzhen kehuitong Technology Co., Ltd.",M70,2389054,SMARTPHONE,C,B,3.48,2025-06-16,12,5,3200,1627,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_5,A,270,3.75,2.6,4.35,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
CUBOT,A20,2400668,SMARTPHONE,B,B,3.35,2025-06-27,12,5,5100,3172,8,800,False,10,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_6,A,270,3.6,2.6,3.75,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
"Guangzhou Shangke Information Technology Co., Ltd.",TLA006,2387897,SMARTPHONE,G,B,3.91,2025-06-13,12,5,10000,5238,8,800,False,10,USB_C,ANDROID,False,IP42,MORE_THAN_1MM,SPRAY_LESS_THAN_15_DEGREES,,MOHS_5,E,52,4.3,3.9,4,PRIORITY,NO_COST,/,/
Google,GTF7P,2191510,SMARTPHONE,B,B,3.53,2025-06-17,24,7,5000,3139,10,1000,False,7,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_4,A,270,3.25,1.2,1.9,PRIORITY,NO_COST,g.co/pixelrepair,g.co/pixelrepair
motorola,razr 60 ultra (XT2551-6),2250774,SMARTPHONE,A,B,3.42,2025-03-22,24,6,4540,2928,10,1000,True,68,USB_C,ANDROID,True,IP48,MORE_THAN_1MM,CONT_IMMERSION,1.5,MOHS_5,D,50,1.97,3.5,4,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://www.replacebase.eu/motorola-guide,https://www.replacebase.eu/genuine-motorola-parts
CROSSCALL,CORE-Z5,2361612,SMARTPHONE,A,B,3.84,2023-02-15,60,5,4830,3762,8,800,True,5,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,2,MOHS_6,A,270,3.6,4.6,4,PRIORITY,NO_COST,https://www.crosscall.com/fr_FR/userguides/,https://www.crosscall.com/fr_FR/pieces-detachees.html
ASUS,ASUSAI2501B,2223775,SMARTPHONE,A,C,2.69,2024-12-31,12,5,2790,3660,12,1200,False,65,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1,MOHS_6,D,45,1.25,4.2,2.7,PRIORITY,NO_COST_PROFESSIONAL_REPAIRERS,dlcdnets.asus.com/pub/ASUS/ZeSnFone/AI2501/E23583_AI2501_SM_WEB.pdf?model=ROG Phone 9,https://en.accessoires-asus.com/zenfone/
CUBOT,KINGKONG STAR 2,2400648,SMARTPHONE,C,C,3.22,2025-06-27,12,5,5100,2621,9,900,False,33,USB_C,ANDROID,False,IP68,DUST_TIGHT,CONT_IMMERSION,1.5,MOHS_6,A,270,3.25,2.6,3.45,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
TCL,T521H,2353401,SMARTPHONE,B,B,3.7,2025-05-15,24,6,5000,3167,10,1000,True,18,USB_C,ANDROID,False,IP54,DUST_PROTECTED,SPLASHING,,MOHS_5,B,180,2.8,3.3,3.7,PRIORITY,NO_COST,https://www.tcl.com/mobile-support,https://storesp.tcl.com
APPLE,A3409,2261239,SMARTPHONE,B,C,2.79,2025-03-04,24,5,4005,2460,10,1000,False,5,USB_C,IOS,False,IP68,DUST_TIGHT,CONT_IMMERSION,6,MOHS_4,C,90,2.65,3.2,1,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST,https://support.apple.com/self-service-repair,https://support.apple.com/self-service-repair
realme,RMX3910,2398248,SMARTPHONE,A,B,3.37,2025-06-25,12,5,5000,3343,8,800,False,5,USB_C,ANDROID,False,IP44,MORE_THAN_1MM,SPLASHING,,MOHS_4,A,270,3.5,2.6,4.05,DISPLAY_BATTERY_BACK_COVER_CAMERAS,NO_COST_PROFESSIONAL_REPAIRERS,/,/
